"","Địa chỉ","Quận","Huyện","Loại hình nhà ở","Giấy tờ pháp lý","Số tầng","Số phòng ngủ","Diện tích","Dài","Rộng","Giá/m2"
"5024","Đường Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","Nhà mặt phố, mặt tiền","Đã có sổ","6","4",30,6,5,185.71
"5025","Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,98.53
"5026","Đường Thanh Lân, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thanh Trì","Nhà ngõ, hẻm","Đã có sổ","1","2",35,7,5,68.6
"5027","Đồng Cổ, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà mặt phố, mặt tiền","Đã có sổ","5","3",21,7,3,213.64
"5028","15, Đường Tân Khai, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Vĩnh Hưng","Nhà ngõ, hẻm","Đang chờ sổ","4","3",33,11,3,60.98
"5029","Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà mặt phố, mặt tiền","Đã có sổ","4","2",21,7,3,73.81
"5030","Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà biệt thự","Đang chờ sổ","3","4",144,18,8,63.16
"5031","Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ","5","6",52,13,4,96.49
"5032","Đường Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Lương","Nhà ngõ, hẻm","Đã có sổ","6","10+",72,16,4.5,80
"5033","Đường Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Tương Mai","Nhà ngõ, hẻm","Đã có sổ","5","3",27,9,3,75.68
"5034","Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Nhà ngõ, hẻm","Đã có sổ","5","3",36,12,3,74.44
"5036","Đường Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,80.56
"5037","76, Đường Ngọc Hà||275, Phường Đội Cấn, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Đội Cấn","Nhà ngõ, hẻm","Đã có sổ","3","2",24,8,3,96.15
"5038","262, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Trung","Nhà ngõ, hẻm","Đã có sổ","5","3",40,10,4,84.62
"5039","Đường Nguyễn Công Trứ, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Ngô Thì Nhậm","Nhà ngõ, hẻm","Đã có sổ","4","3",36,9,4,105.71
"5040","Đường Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phúc La","Nhà mặt phố, mặt tiền","Đã có sổ","6","7",100,10,10,178
"5041","Đường Nghĩa Bình, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Yên Nghĩa","Nhà ngõ, hẻm","Đã có sổ","4","4",30,10,3,51.39
"5042","Đường Bạch Mai||485, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Bạch Mai","Nhà ngõ, hẻm","Đã có sổ","3","4",30,15,2,87.5
"5044","Đường Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Mỹ Đình 2","Nhà mặt phố, mặt tiền","Đã có sổ","10","5",160,20,8,264.71
"5045","Đường Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Hàng Bột","Nhà ngõ, hẻm","Đã có sổ","5","4",35,7,5,78.95
"5046","Đường Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà mặt phố, mặt tiền","Đã có sổ","6","8",36,9,4,122.86
"5047","195, Đường Tô Hiệu, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Nguyễn Trãi","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,105
"5048","Đường Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","5","5",32,8,4,95.31
"5049","Đường Thịnh Liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thịnh Liệt","Nhà ngõ, hẻm","Đã có sổ","5","3",35,7,5,88.57
"5050","Đường Tỉnh lộ 72, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ","4","4",41.6,13,3.2,60.49
"5051","Đường Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,74.29
"5052","Đường Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ","5","5",84,14,6,78.57
"5053","Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,74.29
"5054","Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Cống Vị","Nhà ngõ, hẻm","Đã có sổ","6","4",420,12,35,110.94
"5055","Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Trung Liệt","Nhà mặt phố, mặt tiền","Đã có sổ","6","4",45,9,5,176.67
"5057","Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","5","3",48,12,4,71.3
"5058","Đường Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Yên Hoà","Nhà ngõ, hẻm","Đã có sổ","5","3",30,10,3,93.33
"5059","Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Kim Mã","Nhà ngõ, hẻm","Đã có sổ","5","6",48,12,4,97
"5060","Đường Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Trung","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",66,12,5.5,178.46
"5061","Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ","5","3",56,14,4,46.55
"5062","Đường Bà Triệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",40,10,4,70
"5063","Đường Hà Trì, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",40,10,4,70
"5064","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","2","2",30,10,3,50
"5065","Đường Phương Canh, Phường Phương Canh, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Phương Canh","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,62.86
"5066","Đường Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","Nhà ngõ, hẻm","Đã có sổ","4","4",30,10,3,75.76
"5067","Đường Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Yên Sở","Nhà ngõ, hẻm","Đã có sổ","4","4",36,6,6,70
"5068","Đường Vương Thừa Vũ, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ","5","4",40,10,4,125
"5069","Đường Thanh Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Liệt","Nhà ngõ, hẻm","Đã có sổ","4","4",49,14,3.5,68
"5070","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Thụy","Nhà ngõ, hẻm","Đã có sổ","4","5",70,14,5,71.43
"5071","Đường Trương Định, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Giáp Bát","Nhà ngõ, hẻm","Đã có sổ","1","2",16,4,4,45.95
"5073","Đường Nguyễn Huy Tưởng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà biệt thự","Đã có sổ","3","6",144,16,9,219.86
"5075","Đường Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Lâm","Nhà ngõ, hẻm","Đã có sổ","4","3",60,15,4,74.62
"5076","Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ","5","4",45,9,5,72.22
"5077","Đường An Dương, Phường Nhật Tân, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Nhật Tân","Nhà ngõ, hẻm","Đã có sổ","4","5",64,8,8,97.01
"5078","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","4","4",38.76,10.2,3.8,58.46
"5079","Đường Mậu Lương, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà ngõ, hẻm","Đã có sổ","4","4",38.76,10.2,3.8,58.46
"5080","Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","4","3",30,10,3,77.42
"5081","Đường 70, Phường Phúc La, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phúc La","Nhà ngõ, hẻm","Đã có sổ","2","2",32,8,4,60.98
"5082","Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà ngõ, hẻm","Đã có sổ","5","3",32,8,4,90.63
"5083","Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Thạch Bàn","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",36,9,4,75
"5084","50, Đường Kim Hoa, Phường Phương Liên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Phương Liên","Nhà ngõ, hẻm","Đã có sổ","4","4",55,11,5,94.55
"5085","Đường Yên Ninh, Phường Trúc Bạch, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Trúc Bạch","Nhà mặt phố, mặt tiền","Đã có sổ","3","4",70,14,5,356.06
"5086","Đường Láng Hạ||386, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà ngõ, hẻm","Đã có sổ","5","4",48,12,4,69.64
"5087","Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Ngọc Hà","Nhà ngõ, hẻm","Đã có sổ","3","2",18,6,3,113.64
"5088","Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Dương Nội","Nhà biệt thự","Đang chờ sổ","4","5",176,22,8,107.89
"5089","Đường Phúc Đồng, Phường Phúc Đồng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Phúc Đồng","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",39,13,3,110.58
"5090","Đường Lương Định Của, Phường Phương Mai, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Phương Mai","Nhà ngõ, hẻm","Đã có sổ","5","3",38,10,3.8,97.37
"5091","12, Đường Nhuệ Giang, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ","4","2",40,10,4,121.43
"5092","421, Đường Thụy Khuê, Phường Bưởi, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Bưởi","Nhà mặt phố, mặt tiền","Giấy tờ khác","2","2",21,7,3,130.43
"5093","Đường Nguyễn Thị Định, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Trung Hoà","Nhà biệt thự","Đã có sổ","5","5",105,15,7,215
"5094","Đường Trần Quốc Vượng, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng Hậu","Nhà ngõ, hẻm","Đã có sổ","5","4",50,10,5,82.35
"5095","Đường Cự Lộc, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",36,9,4,138.89
"5097","Đường Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Thạch Bàn","Nhà ngõ, hẻm","Đã có sổ","4","3",30,7.5,4,76.67
"5098","Đường Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Hạ Đình","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",56,14,4,89.29
"5099","Đường Ngô Quyền, Phường Quang Trung, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Quang Trung","Nhà ngõ, hẻm","Đã có sổ","5","3",30,10,3,113.33
"5100","Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Trung Liệt","Nhà mặt phố, mặt tiền","Đã có sổ","6","10+",125,12.5,10,200
"5101","Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Trương Định","Nhà ngõ, hẻm","Đã có sổ","4","4",40,8,5,96.77
"5102","Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,117.14
"5104","Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,98.75
"5105","Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,73.61
"5106","Đường Nguyễn Vă Lịnh, Phường Gia Thụy, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Gia Thụy","Nhà mặt phố, mặt tiền","Đã có sổ","5","5",36,9,4,93.18
"5107","Đường 19/5, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","4","3",32,8,4,75.81
"5108","Đường Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng Hậu","Nhà ngõ, hẻm","Đã có sổ","5","4",50,10,5,164.15
"5109","Đường Chùa Bộc, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","5","4",50,10,5,90
"5110","Đường Nguyễn Công Trứ, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ","5","4",32,8,4,110.61
"5111","Đường Khuất Duy Tiến, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Bắc","Nhà mặt phố, mặt tiền","Đã có sổ","6","6",60,10,6,155
"5112","Đường Hà Trì 2, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà ngõ, hẻm","Đã có sổ","2","3",30,10,3,48.57
"5114","Đường Kim Ngưu, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Lương","Nhà ngõ, hẻm","Đã có sổ","4","4",40,10,4,67.86
"5115","Đường Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà mặt phố, mặt tiền","Đã có sổ","4","2",24,8,3,285.71
"5116","Đường Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Khâm Thiên","Nhà ngõ, hẻm","Đã có sổ","3","4",45,9,5,65.56
"5117","Đường Linh Quang A, Phường Văn Miếu, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Văn Miếu","Nhà ngõ, hẻm","Đã có sổ","4","4",50,10,5,75
"5118","Đường Kim Giang, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Bắc","Nhà mặt phố, mặt tiền","Đã có sổ","5","5",27,9,3,95.12
"5119","Đường Ngõ Gốc Đề, Phường Tương Mai, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Tương Mai","Nhà ngõ, hẻm","Đã có sổ","5","6",36,12,3,84.88
"5120","Đường Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Đội Cấn","Nhà ngõ, hẻm","Đã có sổ","1","1",96,16,6,69.19
"5121","29, Đường Giang Biên, Phường Giang Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Giang Biên","Nhà ngõ, hẻm","Đã có sổ","2","2",54,6,9,42.59
"5122","Khu đô thị mới Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Mộ Lao","Nhà phố liền kề","Đã có sổ","5","4",80,16,5,143.75
"5123","Đường Kim Ngưu, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","Nhà ngõ, hẻm","Đã có sổ","5","3",41.8,11,3.8,102.38
"5124","8, Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà mặt phố, mặt tiền","Đã có sổ","5","6",40,10,4,107.5
"5125","Đường Lương Ngọc Quyến, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",56,14,4,122.81
"5126","Đường Phùng Khoang, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Thanh Xuân Bắc","Nhà ngõ, hẻm","Đã có sổ","4","3",48,15,3.2,60.42
"5127","Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","4","4",36,9,4,73.61
"5128","189, Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Vĩnh Phúc","Nhà ngõ, hẻm","Đã có sổ","4","3",72,18,4,78.57
"5129","Đường Dương Văn Bé, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Vĩnh Tuy","Nhà ngõ, hẻm","Đã có sổ","4","4",38.85,10.5,3.7,64.1
"5130","Đường Ngô Sỹ Liên, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà mặt phố, mặt tiền","Đã có sổ","4","4",65,13,5,54.29
"5131","Đường Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Bưởi","Nhà ngõ, hẻm","Đã có sổ","6","4",36,8,4.5,80.95
"5132","Đường Vĩnh Tuy, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ","5","4",44,11,4,110
"5133","55555, Đường Ngọc Thụy, Phường Long Biên, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Long Biên","Nhà ngõ, hẻm","Đã có sổ","4","5",36.8,11.5,3.2,5.41
"5134","Đường Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Đại Kim","Nhà ngõ, hẻm","Đã có sổ","4","4",40,8,5,108.75
"5135","Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Tân Mai","Nhà ngõ, hẻm","Đã có sổ","3","3",60,12,5,37.5
"5137","Đường Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Xuân La","Nhà phố liền kề","Đã có sổ","5","4",70,14,5,166.18
"5138","Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà mặt phố, mặt tiền","Đã có sổ","6","3",48,12,4,132
"5139","Đường Võ Thị Sáu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Nhàn","Nhà ngõ, hẻm","Đã có sổ","3","2",24,6,4,71.82
"5140","Đường Xã Đàn, Phường Nam Đồng, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Nam Đồng","Nhà ngõ, hẻm","Đã có sổ","4","3",25,5,5,98
"5142","Đường Lạc Long Quân, Phường Quảng An, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Quảng An","Nhà ngõ, hẻm","Đã có sổ","5","4",30,10,3,98.33
"5143","Đường Nam Dư, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Lĩnh Nam","Nhà ngõ, hẻm","Đã có sổ","5","3",36,10,3.6,72.86
"5144","1, Ngõ 11, Phường Việt Hưng, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Việt Hưng","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",360,10,36,61.11
"5145","Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Quang Trung","Nhà mặt phố, mặt tiền","Đã có sổ","4","3",30,10,3,203.13
"5146","Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Xuân Đỉnh","Nhà mặt phố, mặt tiền","Đã có sổ","4","5",52,13,4,100.86
"5147","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà mặt phố, mặt tiền","Đã có sổ","5","4",40,10,4,123.68
"5148","129, Đường Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Trương Định","Nhà ngõ, hẻm","Đã có sổ","3","2",40,8,5,52.86
"5149","Đường Khuyến Lương","Quận Hoàng Mai","Phường Trần Phú","Nhà ngõ, hẻm","Đã có sổ","4","3",32,8,4,68.06
"5150","Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thịnh Liệt","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,88.57
"5153","Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà ngõ, hẻm","Đã có sổ","3","2",270,15,18,76.39
"5156","Đường Phúc Tân, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội","Quận Hoàn Kiếm","Phường Phúc Tân","Nhà mặt phố, mặt tiền","Giấy tờ khác","4","5",46,23,2,2.24
"5157","Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Ngọc Thụy","Nhà ngõ, hẻm","Đã có sổ","1","1",28,7,4,62.86
"5158","22A ngõ 317, Đường Bùi Xương Trạch, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ","5","4",40,8,5,65.79
"5159","Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ","5","3",27,9,3,88
"5160","123, Đường Trường Chinh, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ngã Tư Sở","Nhà ngõ, hẻm","Đã có sổ","2","2",36,12,3,116.94
"5161","Đường Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Quang Trung","Nhà ngõ, hẻm","Đã có sổ","4","2",18,6,3,97.22
"5162","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà ngõ, hẻm","Đã có sổ","4","2",16,4,4,89.13
"5163","Đường Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Đình","Nhà ngõ, hẻm","Đã có sổ","5","3",36,9,4,118.18
"5164","Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Trung Văn","Nhà ngõ, hẻm","Đã có sổ","5","4",31.5,9,3.5,84.85
"5165","Đường Bế Văn Đàn, Phường Quang Trung, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Quang Trung","Nhà ngõ, hẻm","Đã có sổ","4","3",70,7,10,70
"5166","Đường Hồ Tây, Phường Quảng An, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Quảng An","Nhà ngõ, hẻm","Đã có sổ","5","4",30,10,3,98.33
"5167","Đường Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Định Công","Nhà ngõ, hẻm","Đã có sổ","5","3",16,4,4,45.57
"5168","Đường Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Thịnh Liệt","Nhà ngõ, hẻm","Đã có sổ","5","3",40,10,4,77.5
"5169","Đường Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Tứ Liên","Nhà ngõ, hẻm","Đã có sổ","3","4",71.3,11.5,6.2,58.33
